,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,862,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88733100330.52757,88733158346.93979,True,,11,71659659264.0,6941433818.227133,,2023-11-07T19:40:00.000Z,0.09686668747131949,208102236.80302638,-4.4534,0.17993887,-0.78554777,0.16667592,9.77045559,22.71088229,26.75802014,8595281498.078451,0.6436,8595287117.94,,2023-11-07T19:40:00.000Z,,,,,,2023-11-07 22:42:10.340463
11,1975,Chainlink,LINK,chainlink,1409,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,12,,,,2023-11-07T19:40:00.000Z,13.132089361430978,918052223.6765074,33.0722,0.56069176,3.451148,16.26706694,70.73238078,109.92570035,70.83613877,7312603572.896194,0.5479,13132089361.43,,2023-11-07T19:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-11-07 22:42:10.340463
12,3890,Polygon,MATIC,polygon,1047,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",10000000000.0,9244708258.998518,10000000000.0,False,,13,,,,2023-11-07T19:40:00.000Z,0.7235590542437809,375435441.19311774,45.7352,0.33599216,0.77181506,14.6610834,28.69706078,33.41386026,5.54558808,6689092364.640637,0.5001,7235590542.44,,2023-11-07T19:40:00.000Z,,,,,,2023-11-07 22:42:10.340463
13,6636,Polkadot,DOT,polkadot-new,607,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1247983485.6274323,1375043987.335784,True,,14,,,,2023-11-07T19:40:00.000Z,4.9136731818362245,209188949.8592216,9.3861,0.32079242,-0.29446923,11.07119891,22.05783563,15.82770955,-2.2147126,6132182984.702007,0.4595,6756516764.42,,2023-11-07T19:40:00.000Z,,,,,,2023-11-07 22:42:10.340463
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1479,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",,163841.87196907,163841.87196907,False,,15,,,,2023-11-07T19:41:00.000Z,35385.12151162758,127473184.33485095,1.5875,0.53660386,1.05881796,2.69387558,26.76144173,36.92439269,19.88742714,5797564548.31807,0.4332,5797564548.32,,2023-11-07T19:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-11-07 22:42:10.340463
0,1,Bitcoin,BTC,bitcoin,10540,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19535843.0,19535843.0,False,,1,,,,2023-11-07T19:42:00.000Z,35477.18649247496,16139764466.74152,17.3255,0.77741526,1.22433218,2.8081178,27.17344071,37.21196825,20.37549773,693076745398.7115,51.7873,745020916341.97,,2023-11-07T19:42:00.000Z,,,,,,2023-11-07 22:43:13.723410
1,1027,Ethereum,ETH,ethereum,7730,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120268344.75354697,120268344.75354697,True,,2,,,,2023-11-07T19:42:00.000Z,1899.2734509517593,9023357799.931072,7.2308,0.69827586,-0.03624291,4.91333698,16.10041613,16.30221782,2.73190061,228422474180.32507,17.078,228422474180.33,,2023-11-07T19:42:00.000Z,,,,,,2023-11-07 22:43:13.723410
2,825,Tether USDt,USDT,tether,65227,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,85739984994.63644,88623656723.6624,True,,3,,,,2023-11-07T19:41:00.000Z,1.000618834638638,34963211273.82438,18.171,0.04092414,0.0198423,0.03602956,0.01277041,0.09829523,0.1391851,85793043867.26743,6.4093,88678500112.25,,2023-11-07T19:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-07 22:43:13.723410
3,1839,BNB,BNB,bnb,1746,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151702548.5932675,151702548.5932675,False,,4,,,,2023-11-07T19:41:00.000Z,247.86016276508946,548388725.4428574,7.7749,0.44517593,-1.96957105,9.71370116,17.03922509,15.67458713,1.91902884,37601018386.20618,2.8112,37601018386.21,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:43:13.723410
4,52,XRP,XRP,xrp,1136,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53615837759.0,99988316618.0,False,,5,,,,2023-11-07T19:42:00.000Z,0.6898375800608312,2840411011.3040547,-12.2374,0.83326644,-3.24937475,15.0077009,32.99892934,36.57954689,4.63525405,36986219772.6027,2.7653,68983758006.08,,2023-11-07T19:42:00.000Z,,,,,,2023-11-07 22:43:13.723410
